accuracy,precision,recall,f1_score,pattern_acc
0.579427063,0.475629717,0.812744558,0.600082576,0.225260422
0.514756918,0.354964316,0.305757403,0.328528523,0.313802093
0.705946207,0.654119313,0.514812768,0.576165199,0.287760407
0.707899332,0.647371948,0.543879271,0.591129959,0.442057282
0.735026062,0.657079637,0.664058149,0.660550475,0.470052093
0.771918416,0.728908181,0.656791508,0.690973222,0.7265625
0.790798604,0.788663387,0.629960895,0.700435042,0.766927063
0.779730916,0.711475432,0.727780879,0.719535768,0.857421875
0.735243082,0.638308227,0.733929574,0.682787299,0.742838562
0.783420146,0.689506471,0.804359972,0.742518008,0.8203125
0.733723938,0.643954933,0.702627182,0.672012806,0.698567688
0.80859375,0.777709723,0.709893823,0.742255986,0.906901062
0.828993082,0.788472593,0.764672995,0.776390433,0.932942688
0.837239563,0.817348838,0.747903883,0.781085849,0.929036438
0.835069418,0.814294457,0.745109022,0.778167009,0.921875
0.828125,0.772851646,0.789267719,0.780973434,0.93359375
0.841796875,0.788043499,0.810508668,0.799118221,0.940104187
0.8359375,0.786467016,0.792621553,0.789532304,0.938802063
0.845920146,0.822474599,0.769144773,0.794916213,0.938802063
0.8359375,0.787103951,0.791503608,0.78929764,0.924479187
0.840711832,0.792567968,0.798770249,0.795657039,0.934895813
0.844184041,0.805825233,0.788708746,0.797175169,0.940104187
0.846137166,0.809278369,0.789826691,0.799434185,0.94140625
0.845920146,0.810592949,0.787031889,0.798638761,0.94140625
0.845052063,0.809441566,0.785913944,0.797504306,0.942708313
0.845269084,0.810265303,0.785354972,0.797615647,0.944010437
0.84375,0.80386585,0.790385664,0.797068775,0.943359375
0.845703125,0.812645018,0.783119082,0.797608912,0.940755188
0.846137166,0.806469917,0.79429847,0.800337911,0.944661438
0.847005188,0.808656037,0.793739498,0.801128328,0.943359375
0.846137166,0.810701966,0.787590861,0.798979342,0.943359375
